size	insert		search		
10	0.000000	0.000000	increasing
100	0.000000	0.000000	increasing
1000	0.000000	0.000000	increasing
10000	0.301000	0.270000	increasing
20000	1.203000	1.203000	increasing
30000	2.677000	2.675000	increasing
40000	4.699000	4.795000	increasing
50000	7.286000	7.225000	increasing
60000	10.654000	10.731000	increasing
70000	14.317000	14.275000	increasing
80000	19.028000	18.904000	increasing
90000	23.833000	24.097000	increasing
100000	29.301000	29.276000	increasing
10	0.000000	0.000000	random
100	0.000000	0.000000	random
1000	0.000000	0.000000	random
10000	0.000000	0.016000	random
20000	0.010000	0.000000	random
30000	0.010000	0.015000	random
40000	0.016000	0.015000	random
50000	0.016000	0.000000	random
60000	0.023000	0.015000	random
70000	0.030000	0.031000	random
80000	0.032000	0.031000	random
90000	0.096000	0.059000	random
100000	0.048000	0.034000	random
10	0.000000	0.000000	binary
100	0.000000	0.000000	binary
1000	0.000000	0.000000	binary
10000	0.000000	0.000000	binary
20000	0.000000	0.016000	binary
30000	0.010000	0.000000	binary
40000	0.002000	0.010000	binary
50000	0.015000	0.015000	binary
60000	0.000000	0.015000	binary
70000	0.016000	0.016000	binary
80000	0.010000	0.021000	binary
90000	0.016000	0.031000	binary
100000	0.031000	0.015000	binary
